DISTRICT,total_pop,total_pop_log,turnout2018_registered,election2018_closeness,pop_perc_one_race,pop_perc_two_races,pop_perc_three_or_more_races,pop_perc_white,pop_perc_black,pop_perc_am_indian,pop_perc_asian,pop_perc_pac_islander,c_pop_perc_urban,c_pop_perc_change,c_pop_perc_migration,c_gini_index,c_perc_hs_grad,c_perc_uni_grad,c_perc_owner_occupied_house,total2020_voted,turnout2020_registered,predicted_turnout
1,1438.0092764378478,6.956286573044439,0.644442492000181,652.8447124304267,0.9499922195861121,0.050007780413887815,0.0025325779593513196,0.9105092127003512,0.005861759757000236,0.023450566781380005,0.004285723601547625,0.00031794285859103674,0.0,-0.002457226815276067,0.1232911144472539,0.43939573283858996,0.3004715066437861,0.23733545916761595,0.504479003927383,814.3636363636364,0.7279346037143339,0.7280423800476374
2,1823.1835294117648,7.332181048307685,0.5679567755147279,718.811294117647,0.9459120867287328,0.05408791327126714,0.002733523812465765,0.8888975286926235,0.02950977423198821,0.008094569522898894,0.005101828391221658,0.00024956914852047673,0.22040442816454087,0.0012082639201067128,0.12973804920226328,0.44156282352941173,0.31058978890396943,0.19945479835214935,0.584563823745555,944.3364705882353,0.7055618139234466,0.7127321343965751
3,2619.310810810811,7.819727730286784,0.6225030576054691,1091.3777027027027,0.9291624892618304,0.07083751073816948,0.004101320169862053,0.769188227483075,0.08079914325300899,0.005353428528822689,0.02882321242301541,0.00030358792442676964,0.7794077769726403,0.007550039170361463,0.10633377394618469,0.44952094594594594,0.2180541933782517,0.34700093677387467,0.6706385209001653,1420.6655405405406,0.7785363647613582,0.7657184124983027
4,2542.7967213114753,7.765864353621308,0.587641466688378,1023.4740983606557,0.9279209072729286,0.0720790927270712,0.003981508124290989,0.7923581186016542,0.07392487164330677,0.006017256177384839,0.01997547153059646,0.000401721850215441,0.5200308425671997,0.004083572671845066,0.12460541848776918,0.44513114754098365,0.24389300461235908,0.306736109970671,0.6399581196045298,1340.8360655737704,0.7333328290364511,0.7356036079355022
5,2371.9816513761466,7.700268450143147,0.52640441136696,859.5324159021407,0.9352353534069963,0.0647646465930037,0.003067266741111292,0.8526389917995881,0.04850027990895489,0.005080558281647624,0.010088694294217685,0.00020573228181983578,0.3470164426579434,-0.001131446009654531,0.10732893158854757,0.43374403669724776,0.3020836876382995,0.2017445688040299,0.658002243661731,1173.394495412844,0.6892519312654019,0.7004037238854846
6,2494.122580645161,7.781823920414856,0.6308267664131264,1124.4093548387098,0.9267990386704705,0.0732009613295294,0.0045640876914280135,0.7344743515446764,0.09120016824825915,0.003230830490782094,0.0820241027356619,0.00034461022752969644,0.895496051319923,0.00016335205110060703,0.13033040016395434,0.4907032258064516,0.19014602789665896,0.39283023890344426,0.5465274437767409,1431.2774193548387,0.7767077724717287,0.771493186894903
7,2350.021212121212,7.69172281560074,0.6715096319831466,1024.2630303030303,0.9322970744597824,0.06770292554021759,0.003694716914920104,0.8251129708256565,0.05819035676930488,0.004293060061705475,0.02683066154873213,0.000390829424759057,0.5521589713320153,0.003828320418038585,0.14502159326786898,0.43117818181818185,0.23127374785292734,0.32382574515054985,0.6680435981630424,1305.7121212121212,0.7678734244494897,0.7524616971735978
8,2003.3669250645994,7.4834127954611835,0.5488457706447831,822.2770025839793,0.9351473235952913,0.0648526764047086,0.0033370175525007143,0.7289111232955803,0.17564776398026336,0.0042273890209619,0.010346549144676871,0.00036471077150878787,0.7006169584223563,-0.004178563090338166,0.08937967367853247,0.45936408268733847,0.28646122499210896,0.2120946183879795,0.6427329066864361,1057.5788113695091,0.6786941726783289,0.6813257906582262
9,2232.6801152737753,7.558824446330706,0.7379236799523003,955.9060518731989,0.9450482815660869,0.0549517184339131,0.002508620634196437,0.8914959195606478,0.024165445069321907,0.0031177739737614125,0.013858495198639494,0.0003827544515652444,0.620633096686787,-0.0003294724765149995,0.09072133172608456,0.4338340057636888,0.2816945871580033,0.246331711968478,0.6743378453060883,1316.6397694524496,0.7715613996919392,0.768800692603906
10,2488.24358974359,7.747949412206106,0.6125973671814773,1070.666987179487,0.9429984511795332,0.05700154882046672,0.0031829279614678206,0.7294834684505986,0.13509543479824496,0.002340756276371438,0.06585228642387718,0.0002191753651873362,0.9549760632103388,0.001865316050212521,0.09431098622003442,0.4441057692307693,0.22158343654378684,0.3475554877826639,0.6807161032661637,1401.2916666666667,0.7733505941478823,0.7763966830218149
11,2600.6208053691275,7.807226431448494,0.6398751785743544,1186.2127516778523,0.9396037527739846,0.06039624722601543,0.0037429251429534575,0.6627160994384015,0.1805647534981297,0.00266696610670662,0.0737000668109563,0.00026948334902641204,0.9427776326929826,0.0018688382002657,0.1064096681655142,0.46869999999999995,0.1648851474220368,0.4724222630345688,0.663991314368717,1517.0302013422818,0.7965403276320648,0.7925366254839148
12,1828.4764150943397,7.415198122798975,0.4894934611917157,644.5301886792453,0.9500131441690038,0.04998685583099611,0.004301105410294605,0.38653233294557887,0.5328667730767325,0.003036556297992477,0.013132894545275272,0.00017611756493832759,0.9930439902800421,-0.0023234520704786,0.075149419649132,0.4978,0.2514955773550426,0.2393482150788715,0.5191338016591789,853.2264150943396,0.6230722065119482,0.6098955698447147
13,1697.0459518599562,7.198174445558013,0.43811498534469917,536.7763676148796,0.9420540915051362,0.05794590849486377,0.004953515884365559,0.30104691675780093,0.5697199699036929,0.004440376870007561,0.029701480815628283,0.00038008819874038336,0.9886889345481089,-0.001801115260289985,0.07714956545392954,0.4903105032822757,0.2495915104037094,0.24882142935087068,0.5398262508718519,719.0940919037199,0.5695387972874868,0.588840658696099
